名稱,地址,價格,網址
永和真善美,永和區仁愛路306巷20號,53.1萬/坪,https://market.591.com.tw/25782
秀朗路一段196巷華廈,永和區秀朗路一段196巷1號,35.6萬/坪,https://market.591.com.tw/5901093
羅浮公園,永和區仁愛路264號,69.3萬/坪,https://market.591.com.tw/11045
君臨天下,永和區安樂路154巷號,14.0萬/坪,https://market.591.com.tw/25764
仁愛經典,永和區仁愛路202巷10號,49.0萬/坪,https://market.591.com.tw/25885
新巢時代,永和區自由街12號,47.4萬/坪,https://market.591.com.tw/28686
世季芳庭,永和區中山路一段191巷9弄2號,60.3萬/坪,https://market.591.com.tw/5874223
台北福第,永和區中正路523號,50.9萬/坪,https://market.591.com.tw/11004
竹林路109巷華廈,永和區竹林路109巷7號,53.1萬/坪,https://market.591.com.tw/5899768
永基翡翠,永和區民權路2號,71.1萬/坪,https://market.591.com.tw/25790
百創雙和,永和區雙和街17巷6號,55.4萬/坪,https://market.591.com.tw/25897
竹城福和賞,永和區福和路5號,60.5萬/坪,https://market.591.com.tw/28716
大安禮居,永和區秀朗路二段181巷2號,40.8萬/坪,https://market.591.com.tw/36209
永和之星系列點菁品,永和區中正路512號,42.3萬/坪,https://market.591.com.tw/11006
博愛名卉,永和區博愛街32巷12號,50.8萬/坪,https://market.591.com.tw/50732
松柏華廈,永和區中正路412巷11號,47.3萬/坪,https://market.591.com.tw/10961
萬事達,永和區環河西路一段1號,43.1萬/坪,https://market.591.com.tw/10972
銀河國寶,永和區國光路12巷13號,53.3萬/坪,https://market.591.com.tw/10925
福砌保福區,永和區保安路105巷11號,52.7萬/坪,https://market.591.com.tw/28767
環東極品,永和區環河東路四段98號,69.5萬/坪,https://market.591.com.tw/28715
荷悅,永和區永利路137號之1,46.6萬/坪,https://market.591.com.tw/34463
銀河星光大廈,永和區福和路343號,50.4萬/坪,https://market.591.com.tw/11078
仁愛巨星,永和區仁愛路180號,43.4萬/坪,https://market.591.com.tw/28674
君國公園,永和區安樂路182號,65.1萬/坪,https://market.591.com.tw/25757
保強卡地雅大樓,永和區永和路二段233號,77.5萬/坪,https://market.591.com.tw/28733
勝開大地,永和區保安路、永平路口,未提供價格,https://market.591.com.tw/5921604
捷運天廈,永和區中和路373號,49.7萬/坪,https://market.591.com.tw/28739
金鼎大廈,永和區保平路202號,44.1萬/坪,https://market.591.com.tw/31435
東煒大和,永和區林森路130號,57.0萬/坪,https://market.591.com.tw/11067
中正麒麟,永和區中正路541號,55.3萬/坪,https://market.591.com.tw/28697
慈雲大廈,永和區竹林路119巷25弄8號,60.3萬/坪,https://market.591.com.tw/5901446
秀朗現代,永和區永元路95巷1號,63.7萬/坪,https://market.591.com.tw/28721
秀朗國宅,永和區秀朗路二段24巷24號,52.3萬/坪,https://market.591.com.tw/5888786
統領中正,永和區中正路456號,58.1萬/坪,https://market.591.com.tw/10946
鳳凰新村,永和區秀朗路二段96號,42.7萬/坪,https://market.591.com.tw/11028
慕林,永和區雙和街7巷11號,57.2萬/坪,https://market.591.com.tw/25900
首曜,永和區豫溪街189巷2號,51.0萬/坪,https://market.591.com.tw/25901
桂閣牡丹區,永和區保順路11號,52.0萬/坪,https://market.591.com.tw/25763
秀朗臻品,永和區秀朗路二段35巷2號,48.6萬/坪,https://market.591.com.tw/25791
頂溪菁品,永和區仁愛路74號,53.7萬/坪,https://market.591.com.tw/25805
遇見幸福,永和區安樂路94號,58.9萬/坪,https://market.591.com.tw/36242
雙魚座,永和區環河西路二段247號,42.6萬/坪,https://market.591.com.tw/10985
雙星儷園,永和區中和路389巷3號,40.4萬/坪,https://market.591.com.tw/28699
凱旋門紅鑽,永和區保順路33號,53.2萬/坪,https://market.591.com.tw/10926
富貴,永和區保平路59號,44.1萬/坪,https://market.591.com.tw/25744
永信華廈,永和區信義路25巷9號,52.1萬/坪,https://market.591.com.tw/25902
仁愛臻堡,永和區仁愛路282巷16號,46.7萬/坪,https://market.591.com.tw/36136
秀朗芳鄰,永和區民有街75巷10弄20號,51.8萬/坪,https://market.591.com.tw/5900260
闔家歡,永和區中山路一段186號,55.5萬/坪,https://market.591.com.tw/11007
新永和,永和區保福路二段133巷40號,50.5萬/坪,https://market.591.com.tw/11068
幸福達人大廈,永和區竹林路119巷29號,48.8萬/坪,https://market.591.com.tw/25877
仁愛狀元邸,永和區保福路二段95號,47.7萬/坪,https://market.591.com.tw/25755
好望角,永和區中山路一段102號,48.0萬/坪,https://market.591.com.tw/36105
隱竹林,永和區竹林路91巷,未提供價格,https://market.591.com.tw/5935443
富貴雙星,永和區永平路74號,51.5萬/坪,https://market.591.com.tw/10949
國豐福星大樓,永和區福和路201號,44.1萬/坪,https://market.591.com.tw/11046
竹林苑,永和區竹林路75巷17號,49.8萬/坪,https://market.591.com.tw/11077
仁愛歐堡鑽石區,永和區仁愛路306巷18弄8號,56.2萬/坪,https://market.591.com.tw/36132
歐洲香榭,永和區得和路51號,57.9萬/坪,https://market.591.com.tw/36223
富都如意大廈,永和區仁愛路306巷18弄9號,61.5萬/坪,https://market.591.com.tw/25868
大都會名廈,永和區中山路一段25號,53.3萬/坪,https://market.591.com.tw/25893
永和新城,永和區自強街32巷2號,52.8萬/坪,https://market.591.com.tw/28689
成功路二段129巷華廈,永和區成功路二段129巷10號之1,46.7萬/坪,https://market.591.com.tw/5900538
福國天廈,永和區仁愛路306巷13號,43.2萬/坪,https://market.591.com.tw/10930
珍園,永和區永貞路136號,46.5萬/坪,https://market.591.com.tw/25761
星和文薈,永和區保福路二段10號,86.0萬/坪,https://market.591.com.tw/5941762
永安一品,永和區水源街2巷11號,59.2萬/坪,https://market.591.com.tw/11091
